id;componente;descripcion;activo
1;tangible;../fake-data/blob/hipster.txt;false
2;Arquitecto;../fake-data/blob/hipster.txt;false
3;Heredado;../fake-data/blob/hipster.txt;false
4;Ladrillo International Coordinador;../fake-data/blob/hipster.txt;false
5;Borders;../fake-data/blob/hipster.txt;true
6;parse Madera world-class;../fake-data/blob/hipster.txt;true
7;Relacciones turn-key benficios;../fake-data/blob/hipster.txt;true
8;invoice;../fake-data/blob/hipster.txt;true
9;Hecho tangible;../fake-data/blob/hipster.txt;true
10;Arquitecto;../fake-data/blob/hipster.txt;true
