id;nombre;tematica;activo;logo_url;logo_url_content_type;ranking;usuarios_cant;retos_cant;ideas_cant
1;matrix JSON Gris;Franc solid Amarillo;true;../fake-data/blob/hipster.png;image/png;59363;86397;58909;61480
2;Canarias;Compatible redundant;false;../fake-data/blob/hipster.png;image/png;90419;52919;70266;37796
3;navigating Andalucía;Malawi;false;../fake-data/blob/hipster.png;image/png;61804;30242;21339;21235
4;Directo synergize;primary;true;../fake-data/blob/hipster.png;image/png;10483;75254;65474;85100
5;Hecho feed synthesize;Hormigon Negro;true;../fake-data/blob/hipster.png;image/png;80299;14802;95171;81196
6;Central Islands;reinvent;true;../fake-data/blob/hipster.png;image/png;99621;32193;60794;10977
7;intangible Avon;codificar;true;../fake-data/blob/hipster.png;image/png;96466;81773;93906;33399
8;Acero compuesto mobile;port interface compelling;false;../fake-data/blob/hipster.png;image/png;84224;39018;88051;11385
9;XSS Morado Artesanal;payment capacitor;true;../fake-data/blob/hipster.png;image/png;47396;81056;29967;19233
10;Inteligente;Sorprendente hacking;false;../fake-data/blob/hipster.png;image/png;21381;65831;58266;51224
