id;ecosistema_rol;descripcion
1;Rústico Gestionado;../fake-data/blob/hipster.txt
2;Metal soporte;../fake-data/blob/hipster.txt
3;Datos Orgánico digital;../fake-data/blob/hipster.txt
4;configurable;../fake-data/blob/hipster.txt
5;Negro;../fake-data/blob/hipster.txt
6;Analista Lituania;../fake-data/blob/hipster.txt
7;ROI XSS;../fake-data/blob/hipster.txt
8;Métricas;../fake-data/blob/hipster.txt
9;Cantabria generate Joyería;../fake-data/blob/hipster.txt
10;Adelante scalable generating;../fake-data/blob/hipster.txt
