id;numero_registro;titulo;descripcion;autor;fecha_inscripcion;visto;foto;foto_content_type;aceptada;publica
1;72725;alianza Singapur Videojuegos;../fake-data/blob/hipster.txt;migración Hormigon Credit;2022-10-15;54325;../fake-data/blob/hipster.png;image/png;true;false
2;40228;Mobilidad invoice generating;../fake-data/blob/hipster.txt;sexy;2022-10-16;10030;../fake-data/blob/hipster.png;image/png;false;false
3;92633;GB AI Mobilidad;../fake-data/blob/hipster.txt;Entrada;2022-10-16;39585;../fake-data/blob/hipster.png;image/png;false;true
4;87223;program regional;../fake-data/blob/hipster.txt;Serbia Shilling;2022-10-16;45488;../fake-data/blob/hipster.png;image/png;true;false
5;94932;Versatil Marca;../fake-data/blob/hipster.txt;Pa'anga;2022-10-16;25073;../fake-data/blob/hipster.png;image/png;true;true
6;24294;invoice sexy Castilla-La;../fake-data/blob/hipster.txt;open-source networks;2022-10-16;5050;../fake-data/blob/hipster.png;image/png;false;true
7;13849;e-business Investment;../fake-data/blob/hipster.txt;Caserio Bélgica;2022-10-16;55740;../fake-data/blob/hipster.png;image/png;false;false
8;66994;Checking Patatas Global;../fake-data/blob/hipster.txt;Sopa;2022-10-16;99317;../fake-data/blob/hipster.png;image/png;true;false
9;30316;payment matrix;../fake-data/blob/hipster.txt;matrices index;2022-10-15;24190;../fake-data/blob/hipster.png;image/png;false;false
10;83972;leading-edge;../fake-data/blob/hipster.txt;generate Toallas quantify;2022-10-16;22084;../fake-data/blob/hipster.png;image/png;true;true
