id;nombre;descripcion;autor;necesidad;fecha_inicio;fecha_fin;logo_url;logo_url_content_type
1;enhance Consultor International;../fake-data/blob/hipster.txt;Programable;solutions Buckinghamshire metódica;2022-10-15;2022-10-16;../fake-data/blob/hipster.png;image/png
2;Pollo Pelota;../fake-data/blob/hipster.txt;Jardines Versatil quantifying;open-source Toallas;2022-10-16;2022-10-16;../fake-data/blob/hipster.png;image/png
3;input Cantabria Plástico;../fake-data/blob/hipster.txt;Plástico Algodón;Verde Digitalizado;2022-10-16;2022-10-16;../fake-data/blob/hipster.png;image/png
4;communities;../fake-data/blob/hipster.txt;Andalucía deposit Rojo;Checa;2022-10-16;2022-10-16;../fake-data/blob/hipster.png;image/png
5;Riera;../fake-data/blob/hipster.txt;Queso;Versatil;2022-10-16;2022-10-16;../fake-data/blob/hipster.png;image/png
6;XSS;../fake-data/blob/hipster.txt;bypass;iniciativa Camiseta Infraestructura;2022-10-15;2022-10-16;../fake-data/blob/hipster.png;image/png
7;Violeta ADP Guapo;../fake-data/blob/hipster.txt;Kenyan wireless;Web Samoa Saint;2022-10-15;2022-10-16;../fake-data/blob/hipster.png;image/png
8;frictionless División Bloque;../fake-data/blob/hipster.txt;Líbano;RSS Borders;2022-10-16;2022-10-16;../fake-data/blob/hipster.png;image/png
9;THX;../fake-data/blob/hipster.txt;radical Travesía Mascotas;vía;2022-10-16;2022-10-16;../fake-data/blob/hipster.png;image/png
10;copy Verde;../fake-data/blob/hipster.txt;Pantalones Ergonómico Gestionado;SAS;2022-10-16;2022-10-15;../fake-data/blob/hipster.png;image/png
