id;redes_url;logo_url;logo_url_content_type
1;port;../fake-data/blob/hipster.png;image/png
2;Moda mobile;../fake-data/blob/hipster.png;image/png
3;Money input withdrawal;../fake-data/blob/hipster.png;image/png
4;paradigms streamline;../fake-data/blob/hipster.png;image/png
5;payment Raton Acero;../fake-data/blob/hipster.png;image/png
6;Hormigon;../fake-data/blob/hipster.png;image/png
7;Metal Patatas clicks-and-mortar;../fake-data/blob/hipster.png;image/png
8;dinámica Asociado;../fake-data/blob/hipster.png;image/png
9;dot-com multi-byte;../fake-data/blob/hipster.png;image/png
10;Amarillo schemas Agente;../fake-data/blob/hipster.png;image/png
