id;reto;descripcion;motivacion;fecha_inicio;fecha_fin;activo;validado;url_foto;url_foto_content_type;visto
1;Deportes synthesize Música;../fake-data/blob/hipster.txt;Extendido;2022-10-16;2022-10-16;false;true;../fake-data/blob/hipster.png;image/png;45908
2;Ucrania killer;../fake-data/blob/hipster.txt;Cuentas;2022-10-15;2022-10-16;true;true;../fake-data/blob/hipster.png;image/png;88785
3;innovate ADP;../fake-data/blob/hipster.txt;Cantabria;2022-10-16;2022-10-16;false;false;../fake-data/blob/hipster.png;image/png;11916
4;Representante;../fake-data/blob/hipster.txt;Mesa Programable;2022-10-15;2022-10-16;false;true;../fake-data/blob/hipster.png;image/png;73632
5;Checking Configurable Verde;../fake-data/blob/hipster.txt;quantifying Enfocado alarm;2022-10-16;2022-10-15;false;true;../fake-data/blob/hipster.png;image/png;10385
6;PNG;../fake-data/blob/hipster.txt;Refinado Market;2022-10-16;2022-10-16;false;true;../fake-data/blob/hipster.png;image/png;76864
7;funcionalidad Organizado;../fake-data/blob/hipster.txt;Plástico;2022-10-16;2022-10-16;true;false;../fake-data/blob/hipster.png;image/png;76660
8;generado Inteligente Berkshire;../fake-data/blob/hipster.txt;drive Obligatorio;2022-10-16;2022-10-15;false;true;../fake-data/blob/hipster.png;image/png;86246
9;IB;../fake-data/blob/hipster.txt;withdrawal;2022-10-16;2022-10-15;true;true;../fake-data/blob/hipster.png;image/png;10948
10;Nacional CSS;../fake-data/blob/hipster.txt;Pelota;2022-10-16;2022-10-15;true;false;../fake-data/blob/hipster.png;image/png;97216
